,rxn_smarts
1429,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1430,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1431,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1432,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1433,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1434,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1435,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1436,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1437,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1438,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1439,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1440,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1441,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1442,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1443,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1444,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1445,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1446,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1447,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1448,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1449,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1450,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1451,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1452,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1453,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1454,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1455,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1456,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1457,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1458,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1459,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1460,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1461,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1462,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1463,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1464,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1465,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1466,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1467,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1468,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1469,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1470,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1471,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1472,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1473,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1474,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1475,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1476,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1477,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1478,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1479,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1480,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1481,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1482,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1483,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1484,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1485,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1486,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1487,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1488,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1489,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1490,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1491,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1492,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1493,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1494,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1495,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1496,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1497,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1498,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1499,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1500,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1501,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1502,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1503,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1504,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1505,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1506,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1507,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1508,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1509,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1510,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1511,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1512,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1513,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1514,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1515,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
1516,C1=CC2=C(C=CC(=C2)I)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
